seed,fold,model,acc,macro_f1,event_f1,event_prec,event_rec
3,1,abl_word_tb,0.7613240418118467,0.7171892631065733,0.8638743455497382,0.8333333333333334,0.8967391304347826
3,1,abl_char_tb_bk,0.7717770034843205,0.7222343472600452,0.8793565683646113,0.8677248677248677,0.8913043478260869
3,2,base_majority,0.32111692844677137,0.09722589167767504,0.4861294583883752,0.32111692844677137,1.0
3,2,base_random,0.2024432809773124,0.18259662172430105,0.24489795918367346,0.32727272727272727,0.1956521739130435
3,2,base_keyword,0.30715532286212915,0.16384302768605535,0.47244094488188976,0.45685279187817257,0.4891304347826087
3,2,proposed_char_tb,0.7609075043630017,0.7091465151132755,0.8515406162464986,0.8786127167630058,0.8260869565217391
3,2,proposed@산업,0.8269230769230769,0.7544783869773103,0.8876404494382022,,
3,2,proposed@안보,0.7005988023952096,0.5620529502123429,0.6451612903225806,,
3,2,proposed@비CBRN,0.7424242424242424,0.7126936788191603,0.8513513513513513,,
3,2,abl_char_title,0.6980802792321117,0.6087763565824005,0.8065395095367848,0.8087431693989071,0.8043478260869565
3,2,abl_word_tb,0.7382198952879581,0.6817549922339949,0.8453038674033149,0.8595505617977528,0.8315217391304348
3,2,abl_char_tb_bk,0.7539267015706806,0.7221378428543304,0.8426966292134831,0.872093023255814,0.8152173913043478
3,3,base_majority,0.3228621291448517,0.09762532981530343,0.48812664907651715,0.3228621291448517,1.0
3,3,base_random,0.2111692844677138,0.19324628121970316,0.2925170068027211,0.3944954128440367,0.23243243243243245
3,3,base_keyword,0.33158813263525305,0.17657068062827225,0.5078534031413613,0.49238578680203043,0.5243243243243243
3,3,proposed_char_tb,0.7591623036649214,0.7113566954716996,0.8293963254593176,0.8061224489795918,0.8540540540540541
3,3,proposed@산업,0.8324022346368715,0.7325460186113545,0.9078947368421053,,
3,3,proposed@안보,0.6951871657754011,0.5768752183700637,0.375,,
3,3,proposed@비CBRN,0.7536231884057971,0.683860072218726,0.8426395939086294,,
3,3,abl_char_title,0.7050610820244329,0.6551969698732909,0.8010899182561307,0.8076923076923077,0.7945945945945946
3,3,abl_word_tb,0.7329842931937173,0.671521545167064,0.814621409921671,0.7878787878787878,0.8432432432432433
3,3,abl_char_tb_bk,0.7626527050610821,0.6983373291706381,0.8398950131233596,0.8163265306122449,0.8648648648648649
3,4,base_majority,0.3228621291448517,0.09762532981530343,0.48812664907651715,0.3228621291448517,1.0
3,4,base_random,0.2268760907504363,0.2100065952523133,0.2847682119205298,0.36752136752136755,0.23243243243243245
3,4,base_keyword,0.32809773123909247,0.17492951819903219,0.5154639175257731,0.49261083743842365,0.5405405405405406
3,4,proposed_char_tb,0.7643979057591623,0.7142199452375136,0.8789473684210526,0.8564102564102564,0.9027027027027027
3,4,proposed@산업,0.8406593406593407,0.7882740379710077,0.9012345679012346,,
3,4,proposed@안보,0.6684210526315789,0.5939335476297931,0.5714285714285714,,
3,4,proposed@비CBRN,0.7860696517412935,0.6887995053947867,0.9052631578947369,,
3,4,abl_char_title,0.7015706806282722,0.6334028393966282,0.8097826086956522,0.8142076502732241,0.8054054054054054
3,4,abl_word_tb,0.7399650959860384,0.6753671280273303,0.8733850129198967,0.8366336633663366,0.9135135135135135
3,4,abl_char_tb_bk,0.7574171029668412,0.7212548256534024,0.870026525198939,0.8541666666666666,0.8864864864864865
4,0,base_majority,0.3205574912891986,0.0970976253298153,0.48548812664907653,0.3205574912891986,1.0
4,0,base_random,0.20905923344947736,0.18680693693347036,0.26332288401253917,0.3111111111111111,0.22826086956521738
4,0,base_keyword,0.3153310104529617,0.16937190197049318,0.4932249322493225,0.4918918918918919,0.4945652173913043
4,0,proposed_char_tb,0.764808362369338,0.6942428254754681,0.8548387096774194,0.8457446808510638,0.8641304347826086
4,0,proposed@산업,0.8258706467661692,0.7163471245372542,0.891566265060241,,
4,0,proposed@안보,0.711864406779661,0.5685990313594866,0.6060606060606061,,
4,0,proposed@비CBRN,0.75,0.6594347952195636,0.8670520231213873,,
4,0,abl_char_title,0.705574912891986,0.6019576931827239,0.8247978436657682,0.8181818181818182,0.8315217391304348
4,0,abl_word_tb,0.7334494773519163,0.6549056974677585,0.8268733850129198,0.7881773399014779,0.8695652173913043
4,0,abl_char_tb_bk,0.764808362369338,0.67904272687917,0.848,0.8324607329842932,0.8641304347826086
4,1,base_majority,0.3205574912891986,0.0970976253298153,0.48548812664907653,0.3205574912891986,1.0
4,1,base_random,0.21602787456445993,0.19390970349840575,0.2588996763754045,0.32,0.21739130434782608
4,1,base_keyword,0.3397212543554007,0.18121693121693122,0.5357142857142857,0.5048076923076923,0.5706521739130435
4,1,proposed_char_tb,0.7926829268292683,0.7436149515926498,0.8753315649867374,0.8549222797927462,0.8967391304347826
4,1,proposed@산업,0.8888888888888888,0.8124226588540655,0.9180327868852459,,
4,1,proposed@안보,0.7041420118343196,0.6289018966759831,0.5,,
4,1,proposed@비CBRN,0.7729468599033816,0.710000862921604,0.8735632183908046,,
4,1,abl_char_title,0.7142857142857143,0.6314831758540368,0.8288770053475936,0.8157894736842105,0.842391304347826
4,1,abl_word_tb,0.7560975609756098,0.6791916218504681,0.8608247422680413,0.8186274509803921,0.907608695652174
4,1,abl_char_tb_bk,0.7682926829268293,0.7137652813796699,0.8571428571428571,0.8502673796791443,0.8641304347826086
4,2,base_majority,0.32111692844677137,0.09722589167767504,0.4861294583883752,0.32111692844677137,1.0
4,2,base_random,0.2006980802792321,0.18572679094169073,0.21830985915492956,0.31,0.16847826086956522
4,2,base_keyword,0.3158813263525305,0.1687369675305332,0.48257372654155495,0.47619047619047616,0.4891304347826087
4,2,proposed_char_tb,0.7609075043630017,0.7148597142296308,0.8587570621468926,0.8941176470588236,0.8260869565217391
4,2,proposed@산업,0.8324607329842932,0.7312983056443504,0.9221556886227545,,
4,2,proposed@안보,0.6717171717171717,0.5843064182194617,0.4,,
4,2,proposed@비CBRN,0.782608695652174,0.733871974148929,0.8789808917197452,,
4,2,abl_char_title,0.7364746945898778,0.6563423792152913,0.8271954674220963,0.863905325443787,0.7934782608695652
4,2,abl_word_tb,0.7242582897033158,0.6645357551110378,0.8484848484848485,0.8603351955307262,0.8369565217391305
4,2,abl_char_tb_bk,0.7539267015706806,0.7099368486951104,0.8595505617977528,0.8895348837209303,0.8315217391304348
4,3,base_majority,0.3228621291448517,0.09762532981530343,0.48812664907651715,0.3228621291448517,1.0
4,3,base_random,0.17452006980802792,0.1586105557416609,0.18620689655172415,0.2571428571428571,0.14594594594594595
4,3,base_keyword,0.35776614310645727,0.19111111111111112,0.5555555555555556,0.5440414507772021,0.5675675675675675
4,3,proposed_char_tb,0.7661431064572426,0.6973744466690186,0.8624338624338624,0.844559585492228,0.8810810810810811
4,3,proposed@산업,0.8522727272727273,0.7420692931225336,0.9156626506024096,,
4,3,proposed@안보,0.7045454545454546,0.6307859971111858,0.5142857142857142,,
4,3,proposed@비CBRN,0.746606334841629,0.6638639053419703,0.8813559322033898,,
4,3,abl_char_title,0.6980802792321117,0.6100420009926639,0.8284960422163589,0.8092783505154639,0.8486486486486486
4,3,abl_word_tb,0.743455497382199,0.6498546341553905,0.8616187989556136,0.8333333333333334,0.8918918918918919
4,3,abl_char_tb_bk,0.743455497382199,0.6902561243895938,0.8534031413612565,0.8274111675126904,0.8810810810810811
4,4,base_majority,0.3228621291448517,0.09762532981530343,0.48812664907651715,0.3228621291448517,1.0
4,4,base_random,0.2338568935427574,0.2122038121367365,0.3127035830618892,0.39344262295081966,0.2594594594594595
4,4,base_keyword,0.28097731239092494,0.1518609565704921,0.4463276836158192,0.46745562130177515,0.42702702702702705
4,4,proposed_char_tb,0.7574171029668412,0.7022040983757167,0.8446866485013624,0.8516483516483516,0.8378378378378378
4,4,proposed@산업,0.8208955223880597,0.744450382950383,0.8914285714285715,,
4,4,proposed@안보,0.7055555555555556,0.5964106463219413,0.46153846153846156,,
4,4,proposed@비CBRN,0.7395833333333334,0.6512635777336563,0.8554216867469879,,
4,4,abl_char_title,0.7155322862129145,0.6433668979422403,0.8273972602739726,0.8388888888888889,0.8162162162162162
4,4,abl_word_tb,0.7242582897033158,0.635763450929566,0.8473684210526315,0.8256410256410256,0.8702702702702703
